EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-09-2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ISRAEL, JERUSALEM CENTRAL (STAID: 132).
Blended and updated with sources: 100477 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100477,19501028,    0,    0
100477,19501029,    0,    0
100477,19501030,    0,    0
100477,19501031,    0,    0
100477,19501101,    0,    0
100477,19501102,    0,    0
100477,19501103,    0,    0
100477,19501104,    0,    0
100477,19501105,    0,    0
100477,19501106,    0,    0
100477,19501107,    0,    0
100477,19501108,    0,    0
100477,19501109,    0,    0
100477,19501110,    3,    0
100477,19501111,    1,    0
100477,19501112,    0,    0
100477,19501113,    0,    0
100477,19501114,    0,    0
100477,19501115,   25,    0
100477,19501116,    0,    0
100477,19501117,    0,    0
100477,19501118,    0,    0
100477,19501119,    0,    0
100477,19501120,    0,    0
100477,19501121,    0,    0
100477,19501122,    0,    0
100477,19501123,    0,    0
100477,19501124,   28,    0
100477,19501125,   11,    0
100477,19501126,    0,    0
100477,19501127,    0,    0
100477,19501128,    9,    0
100477,19501129,    0,    0
100477,19501130,    0,    0
100477,19501201,    0,    0
100477,19501202,   15,    0
100477,19501203,    3,    0
100477,19501204,    0,    0
100477,19501205,    0,    0
100477,19501206,    0,    0
100477,19501207,    0,    0
100477,19501208,    0,    0
100477,19501209,    0,    0
100477,19501210,    0,    0
100477,19501211,    0,    0
100477,19501212,    0,    0
100477,19501213,    0,    0
100477,19501214,    0,    0
100477,19501215,    0,    0
100477,19501216,    0,    0
100477,19501217,    0,    0
100477,19501218,    0,    0
100477,19501219,    0,    0
100477,19501220,    0,    0
100477,19501221,    0,    0
100477,19501222,    0,    0
